fid,station_name,station_no,catchment_name,river_name,station_latitude,station_longitude,local_auth,code,hectares
"1",Abbey St Bathans,"15018",Tweed,Whiteadder Water,55.85329633,-2.387448356,Scottish Borders,S12000026,474268.72
"2",Aberlour,"234150",Spey,Spey,57.48021805,-3.205975095,Moray,S12000020,225763.49
"3",Achfarry,"115300",---,,58.31095839,-4.916337385,Highland,S12000017,2647404.94
"4",Affric Lodge,"115301",Beauly,,57.26272622,-5.005979754,Highland,S12000017,2647404.94
"5",Alford,"234170",Don (Aberdeenshire),Don,57.24230294,-2.717123004,Aberdeenshire,S12000034,633842.98
"6",Allanfearn,"115302",Ness,,57.49914747,-4.151564133,Highland,S12000017,2647404.94
"7",Allnabad,"234151",Naver group,Strathmore,58.34717676,-4.644621014,Highland,S12000017,2647404.94
"8",Allt Dearg House,"115304",Inner Hebrides,,57.28490502,-6.187008123,Highland,S12000017,2647404.94
"9",Amlaird,"115500",Irvine and Ayr,,55.66964373,-4.413260863,East Ayrshire,S12000008,127034.56
"10",Amod Farm,"115501",Kintyre Group,,55.35009103,-5.717857841,Argyll and Bute,S12000035,716614.27
"11",Anaheilt,"115307",---,,56.70184457,-5.57126135,Highland,S12000017,2647404.94
"12",Annfield,"15198",Firth of Forth Group,,56.06640057,-3.371633207,Fife,S12000047,137242.81
"13",Ashgrove,"115506",Irvine and Ayr,,55.66308049,-4.757486092,North Ayrshire,S12000021,90387.45
"14",Auchdergannach,"491811",Spey,,57.22063972,-3.651932222,Highland,S12000017,2647404.94
"15",Auchentroig,"15163",Forth,,56.11221933,-4.342412217,Stirling,S12000030,225481.6
"16",Auchinner,"14964",Earn,Allt Srath a Ghlinne,56.31678388,-4.112254665,Perth and Kinross,S12000048,542136.33
"17",Auchnafree,"14952",Tay,Almond (Tayside),56.47302976,-3.904678161,Perth and Kinross,S12000048,542136.33
"18",Avochie,"234161",Deveron Group,Deveron,57.50564634,-2.782377895,Aberdeenshire,S12000034,633842.98
"19",Avonbank,"322556",Clyde,Avon Water,55.66347112,-4.051617294,South Lanarkshire,S12000029,177401.6
"20",Ayton Castle,"15132",Tweed,,55.84727645,-2.114611023,Scottish Borders,S12000026,474268.72
"21",Badbea,"518147",Laxford Group,,57.86243941,-5.318746664,Highland,S12000017,2647404.94
"22",Baddinsgill Reservoir,"15103",Tweed,,55.7838821,-3.394584951,Scottish Borders,S12000026,474268.72
"23",Baintown Rain-gauge,"501947",Firth of Tay Group,,56.22101614,-3.042679056,Fife,S12000047,137242.81
"24",Balfron STW,"517412",Leven (Durnbartonshire),,56.06523441,-4.333343318,Stirling,S12000030,225481.6
"25",Balgray RG,"490985",Clyde,,55.73428872,-4.5878755,North Ayrshire,S12000021,90387.45
"26",Ballindalloch Stables,"115509",---,,56.06811229,-4.344619383,Stirling,S12000030,225481.6
"27",Balmedie STW,"115202",Ythan Group,,57.25007263,-2.0473803,Aberdeenshire,S12000034,633842.98
"28",Baluniefield,"374852",Firth of Tay Group,,56.48264025,-2.905576117,Dundee City,S12000042,6241.03
"29",Bankfoot,"15065",---,,56.50262276,-3.516362582,Perth and Kinross,S12000048,542136.33
"30",Bannockburn,"14897",Forth,Bannock Burn,56.09528478,-3.911816854,Stirling,S12000030,225481.6
"31",Barwhillanty,"115512",---,,55.01443032,-3.99732547,Dumfries and Galloway,S12000006,667525.68
"32",Battledykes - Wardmill Farm,"499809",Esk Group,,56.67359266,-2.895547661,Angus,S12000041,220244.68
"33",Beltmoss,"327235",Clyde,,55.98678855,-4.056528766,North Lanarkshire,S12000050,47229.98
"34",Biggar Burn,"368536",Tweed,,55.65035093,-3.543765278,South Lanarkshire,S12000029,177401.6
"35",Birkie Hue,"320371",Outer Hebrides,,58.16554218,-6.740713858,Na h-Eileanan an Iar,S12000013,327034.79
"36",Blackdyke Farm,"115516",Irvine and Ayr,,55.52935031,-4.326283061,East Ayrshire,S12000008,127034.56
"37",Blackhills No 2,"115203",Findhorn Group,,57.61017023,-3.222796593,Moray,S12000020,225763.49
"38",Blacklaw,"335578",Deveron Group,,57.58092196,-2.60024157,Aberdeenshire,S12000034,633842.98
"39",Blair Castle No 2,"15060",---,,56.77396086,-3.85889024,Perth and Kinross,S12000048,542136.33
"40",Blairdaff,"115204",---,,57.24844532,-2.505220497,Aberdeenshire,S12000034,633842.98
"41",Blairgowrie,"15063",---,,56.60400027,-3.345448103,Perth and Kinross,S12000048,542136.33
"42",Blythe,"15116",Tweed,,55.7374816,-2.662263534,Scottish Borders,S12000026,474268.72
"43",Bogmore,"115206",---,,57.00332694,-2.648213352,Aberdeenshire,S12000034,633842.98
"44",Bogmuchals,"115207",---,,57.6130103,-2.7762484,Aberdeenshire,S12000034,633842.98
"45",Boleside,"533744",Tweed,Tweed,55.59164323,-2.798878774,Scottish Borders,S12000026,474268.72
"46",Boreland,"115518",Annan,,55.20254702,-3.320073284,Dumfries and Galloway,S12000006,667525.68
