"station_name","station_no","catchment_name","river_name","station_latitude","station_longitude"
"Annan (Creca)",336398,"---",NA,55.02782941,-3.222506029
"Arabella Junction",300350,"---",NA,57.75688278,-4.00651316
"Auldearn Junction",300348,"---",NA,57.58265875,-3.836662863
"Barbush Farm BH",460188,"---",NA,55.03707178,-3.628736322
"Carmyllie War Memorial Obs BH",348952,"---",NA,56.57474711,-2.729419511
"Cookston Deep",17064,"---",NA,56.61914099,-3.077765295
"Cookston Shallow",17065,"---",NA,56.6190878,-3.077682299
"Craigmill Burn Observation Borehole",7926,"---",NA,56.51364342,-2.69215367
"Crombie Country Park Obs BH",348956,"---",NA,56.56228908,-2.777830007
"Dallachy",115215,"---",NA,57.66317443,-3.067640476
"Deerdykes Wood Deep Bedrock Borehole",365223,"---",NA,57.39375416,-2.200145532
"Deerdykes Wood Shallow Bedrock BH",365222,"---",NA,57.3937898,-2.200328735
"Delgaty",336852,"---",NA,57.54745151,-2.401307706
"Dipple E",336516,"---",NA,57.60529499,-3.132882453
"Dipple G",336517,"---",NA,57.61186846,-3.121035659
"Dipple XD",336518,"---",NA,57.61401237,-3.112230036
"Dipple Z",336511,"---",NA,57.61357805,-3.110542889
"Drumine BH2 Brackley Junction West",378644,"---",NA,57.53996233,-4.012984897
"Duncow Deep Obs BH Dumfries",459910,"---",NA,55.13399663,-3.626265673
"Duncow Shallow Obs BH",459909,"---",NA,55.13399663,-3.626265673
"East Fenton Borehole",17374,"---",NA,56.02057267,-2.772244292
"East Lathrisk Borehole",335659,"---",NA,56.25925553,-3.157913027
"Easter Balgedie Farm Obs BH Kinross",379371,"---",NA,56.22105625,-3.337335332
"Falkland WTW Obs BH",515538,"Firth of Tay Group",NA,56.2506005,-3.198742391
"Feddan Junction",300349,"---",NA,57.58762215,-3.726167556
"Fife Coalfield - Air Shaft 18",542704,"---",NA,56.0766487,-3.362292887
"Fife Coalfield - Air Shaft 7",541753,"---",NA,56.06193277,-3.366142332
"Fife Coalfield - Void monitoring point",542705,"---",NA,56.07251106,-3.363496362
"Glamis Castle (Drift)",17068,"---",NA,56.62728426,-3.017607865
"Glamis Castle (Solid)",17067,"---",NA,56.62727528,-3.017607623
"Glamis Petrol Station",17066,"---",NA,56.6054023,-3.002749238
"Gretna (Douglas Tanks)",336403,"---",NA,55.013004,-3.079745767
"Hill of Fearn farm",300351,"---",NA,57.76516209,-3.936363039
"Holywood",336411,"---",NA,55.11917667,-3.632986265
"Ironhirst Moss",133761,"---",NA,55.02253529,-3.488016947
"Kettlebridge Obs BH",445764,"---",NA,56.25678319,-3.114029428
"Kirkton Mill Drift Obs BH",348944,"---",NA,56.63549217,-2.564568378
"Knowehead shallow obs BH Freuchie",379369,"---",NA,56.2499251,-3.165039093
"Knowhead",14458,"---",NA,56.24966295,-3.166160852
"Lathrisk Home Obs BH",328778,"Firth of Tay Group",NA,56.26212819,-3.172497243
"Lochmaben",336419,"---",NA,55.13661823,-3.462704212
"Longbridgemuir Farm",133760,"---",NA,55.00586713,-3.455079486
"Longman Tip BH16",322406,"---",NA,57.48377001,-4.187295391
"Luffness Borehole",17156,"---",NA,56.01180479,-2.835423016
"Mains of Balgavies Deep sst Obs BH",348936,"---",NA,56.65231898,-2.761840366
"Mains of Balgavies Shallow Sst Bedrock B",348939,"---",NA,56.65229203,-2.761839822
"Maryfield Shallow Obs BH",459908,"---",NA,55.08650073,-3.664713902
"Maverston Farm BH3",340431,"---",NA,57.6566082,-3.169188924
"Mill of Keithfield BH",365228,"---",NA,57.3950635,-2.268783395
"Milton Farm BH - Moffat",336432,"---",NA,55.29252607,-3.42591332
"Murton Nature Reserve Observation BH",348935,"---",NA,56.64902313,-2.829111283
"Newbridge",336526,"---",NA,55.0929593,-3.644453696
"Newton of Falkland Borehole",14419,"---",NA,56.25379438,-3.186187933
"Prop of Ythsie Borehole",365224,"---",NA,57.37044329,-2.2006336
"Racks Moss Deep",133763,"---",NA,55.03991121,-3.520429847
"Racks Moss Drift",133762,"---",NA,55.03943668,-3.520286673
"Redbank",336427,"Cree",NA,55.05197584,-3.617725701
"Redford",17069,"---",NA,56.65338817,-2.94996964
"Redmoss Oldtown BH",365226,"---",NA,57.38006252,-2.292871618
"Reedieleys Farm Obs BH Dunshalt",379368,"---",NA,56.28477684,-3.223816418
"Rhynie",335798,"---",NA,57.33512153,-2.830209837
"Roseisle Maltings",331473,"---",NA,57.66877427,-3.472586537
"Scotlandwell",335655,"---",NA,56.19992436,-3.306941917
"Scottish Seafarms BH2",335201,"Beauly",NA,57.46178266,-4.486777359
"Sheills Obs BH",328782,"Firth of Tay Group",NA,56.26759627,-3.160506252
"Strathmiglo Obs BH Strathmiglo",379370,"---",NA,56.27752654,-3.258696644
"Waterside Farm Obs BH",459911,"---",NA,55.04847338,-3.640359968
