"la","Average rainfall in 36 hours","Number of stations"
"Aberdeen City",1.4,1
"Aberdeenshire",3.78518518518519,27
"Angus",1.83076923076923,13
"Argyll and Bute",24.0923076923077,13
"City of Edinburgh",4.08,5
"Clackmannanshire",2.5,2
"Dumfries and Galloway",9.51176470588235,34
"Dundee City",2.8,1
"East Ayrshire",19.9428571428571,7
"East Dunbartonshire",12.0666666666667,3
"East Lothian",2.65,8
"East Renfrewshire",18.4,3
"Falkirk",10.6,3
"Fife",2.87272727272727,11
"Glasgow City",10.5,2
"Highland",20.6163636363636,55
"Inverclyde",0.8,1
"Midlothian",6.9,4
"Moray",6.30769230769231,13
"Na h-Eileanan an Iar",13.72,5
"North Ayrshire",19.2285714285714,7
"North Lanarkshire",13.48,5
"Orkney Islands",22.6,2
"Perth and Kinross",5.82666666666667,15
"Renfrewshire",25.2,2
"Scottish Borders",5.6047619047619,21
"Shetland Islands",70.6,1
"South Ayrshire",15.32,5
"South Lanarkshire",15.1375,8
"Stirling",10.8388888888889,18
"West Dunbartonshire",14.6,1
"West Lothian",10.5,2
