"site_no","station_no","station_name","stationparameter_no","ts_shortname","ts_id","from","to"
1,115202,"Balmedie STW","RE","Hour.36HourTotal",65972010,"2000-12-04 12:00:00","2024-09-11 07:00:00"
1,115239,"Rothienorman","RE","Hour.36HourTotal",65981010,"2001-03-10 06:00:00","2024-09-11 07:00:00"
1,115368,"Loch Droma","RE","Hour.36HourTotal",66001010,"1989-11-01 10:00:00","2024-09-11 08:00:00"
1,115541,"Craigdarroch","RE","Hour.36HourTotal",66014010,"1989-02-01 01:00:00","2024-09-11 08:00:00"
1,115560,"East Kilbride","RE","Hour.36HourTotal",66019010,"1991-01-01 01:00:00","2024-09-11 07:00:00"
1,115627,"Newtonairds","RE","Hour.36HourTotal",66039010,"1988-11-01 01:00:00","2024-09-11 08:00:00"
1,129558,"Luss Raingauge","RE","Hour.36HourTotal",66050010,"2002-05-15 01:00:00","2024-09-11 07:00:00"
1,133077,"Dippen","RE","Hour.36HourTotal",66051010,"1996-01-01 01:00:00","2024-09-11 08:00:00"
1,14897,"Bannockburn","RE","Hour.36HourTotal",66059010,"1998-01-01 10:00:00","2024-09-11 07:00:00"
1,14948,"Forter","RE","Hour.36HourTotal",66077010,"2004-04-28 16:00:00","2024-09-11 08:00:00"
1,14952,"Auchnafree","RE","Hour.36HourTotal",66079010,"1994-01-18 14:00:00","2024-09-11 08:00:00"
1,15132,"Ayton Castle","RE","Hour.36HourTotal",66099010,"2003-02-02 17:00:00","2024-09-11 07:00:00"
1,15163,"Auchentroig","RE","Hour.36HourTotal",66162010,"1989-01-01 01:00:00","2024-09-11 07:00:00"
1,490984,"Camphill WTW Raingauge","RE","Hour.36HourTotal",66227010,"2012-11-14 15:00:00","2024-09-11 08:00:00"
1,506152,"Unthank Raingauge","RE","Hour.36HourTotal",66240010,"2014-09-11 09:00:00","2024-09-11 08:00:00"
1,509196,"Dunnottar Radio Station","RE","Hour.36HourTotal",66241010,"2014-09-29 14:00:00","2024-09-11 07:00:00"
1,541725,"Jedburgh Castle","RE","Hour.36HourTotal",66255010,"2017-08-25 09:00:00","2024-09-11 08:00:00"
1,115376,"Luib","RE","Hour.36HourTotal",66002010,"1990-01-01 01:00:00","2024-09-11 08:00:00"
1,115618,"Millport","RE","Hour.36HourTotal",66037010,"2001-06-18 09:00:00","2024-09-11 08:00:00"
1,115647,"Solwaybank","RE","Hour.36HourTotal",66043010,"1991-07-01 09:00:00","2024-09-11 08:00:00"
1,14984,"Gordon Arms","RE","Hour.36HourTotal",66085010,"1995-12-01 10:00:00","2024-09-11 08:00:00"
1,15067,"Wolfhill","RE","Hour.36HourTotal",66090010,"1996-07-09 01:00:00","2020-02-12 04:00:00"
1,15078,"Montrose","RE","Hour.36HourTotal",66092010,"2003-09-25 15:00:00","2024-09-11 08:00:00"
1,15161,"Braco (Dunduff)","RE","Hour.36HourTotal",66103010,"1990-01-01 10:00:00","2024-09-11 07:00:00"
1,205209,"Mill Of Gavel","RE","Hour.36HourTotal",66116010,"2012-01-20 20:00:00","2024-06-04 13:00:00"
1,234161,"Avochie","RE","Hour.36HourTotal",66119010,"1999-08-14 06:00:00","2024-09-11 07:00:00"
1,499810,"Cleuchhead","RE","Hour.36HourTotal",66236010,"2013-10-24 15:00:00","2024-09-11 07:00:00"
