"site_no","station_no","station_name","stationparameter_no","ts_shortname","ts_id","from","to"
1,115307,"Anaheilt","RS","HMonth.Total",51691010,"2001-01-01 09:00:00","2021-07-01 09:00:00"
1,115315,"Braeroy Lodge","RE","HMonth.Total",51700010,"1993-01-01 09:00:00","2024-09-01 09:00:00"
1,115518,"Boreland","RE","HMonth.Total",51989010,"1993-10-01 09:00:00","2024-09-01 09:00:00"
1,115582,"Hazelwood Cottage","RE","HMonth.Total",52152010,"2013-11-01 09:00:00","2024-09-01 09:00:00"
1,115584,"Hydro Gardens Moffat","RE","HMonth.Total",52161010,"1988-10-01 09:00:00","2024-09-01 09:00:00"
1,115621,"Mugdock Country Park","RS","HMonth.Total",52292010,"1990-01-01 09:00:00","2020-01-01 09:00:00"
1,115633,"Port William","RS","HMonth.Total",52326010,"1975-01-01 09:00:00","2020-07-01 09:00:00"
1,115648,"Sorbie","RE","HMonth.Total",52371010,"1996-07-01 09:00:00","2024-09-01 09:00:00"
1,115655,"Torhouse Mill","RS","HMonth.Total",52403010,"1975-01-01 09:00:00","2024-04-01 09:00:00"
1,133144,"Braidlie","RE","HMonth.Total",53746010,"1991-12-01 09:00:00","2024-09-01 09:00:00"
1,14891,"Glenochil","RE","HMonth.Total",54569010,"2001-12-01 09:00:00","2022-02-01 09:00:00"
1,14897,"Bannockburn","RE","HMonth.Total",54651010,"1998-01-01 09:00:00","2024-09-01 09:00:00"
1,14949,"Moar","RE","HMonth.Total",55350010,"1991-11-01 09:00:00","2024-09-01 09:00:00"
1,15121,"Hawick Sewage Works","RS","HMonth.Total",56427010,"1986-12-01 09:00:00","2021-09-01 09:00:00"
1,15138,"Gordon Hospital","RS","HMonth.Total",56480010,"2003-11-01 09:00:00","2024-07-01 09:00:00"
1,15180,"Dunnswood STW (Cumbernauld)","RE","HMonth.Total",56575010,"1991-01-01 09:00:00","2024-09-01 09:00:00"
1,15223,"Samuelston","RS","HMonth.Total",56691010,"1970-01-01 09:00:00","2020-10-01 09:00:00"
1,234161,"Avochie","RE","HMonth.Total",56883010,"1999-08-01 09:00:00","2024-09-01 09:00:00"
1,509196,"Dunnottar Radio Station","RE","HMonth.Total",60644010,"2014-09-01 09:00:00","2024-09-01 09:00:00"
1,517412,"Balfron STW","RE","HMonth.Total",60791010,"2015-06-01 09:00:00","2024-09-01 09:00:00"
1,564863,"Tomatin No2","RE","HMonth.Total",61376010,"2019-01-01 09:00:00","2024-09-01 09:00:00"
1,14975,"Shiplaw","RE","HMonth.Total",65574010,"2004-12-01 09:00:00","2024-09-01 09:00:00"
1,115226,"Glenrinnes Knowe","RS","HMonth.Total",51566010,"2001-03-01 09:00:00","2024-07-01 09:00:00"
1,115227,"Hatton No 2","RE","HMonth.Total",51575010,"1998-07-01 09:00:00","2024-09-01 09:00:00"
1,115229,"Insch No 2","RS","HMonth.Total",51582010,"1970-01-01 09:00:00","2024-07-01 09:00:00"
1,115376,"Luib","RE","HMonth.Total",51877010,"1990-12-01 09:00:00","2024-09-01 09:00:00"
1,115409,"West Sandwick Yell","RS","HMonth.Total",51930010,"2002-09-01 09:00:00","2020-04-01 09:00:00"
