"site_no","station_no","station_name","stationparameter_no","ts_shortname","ts_id","from","to"
1,115202,"Balmedie STW","RE","Hour.Total",51481010,"2000-12-04 12:00:00","2024-09-10 09:00:00"
1,115202,"Balmedie STW","RE","Hour.36HourTotal",65972010,"2000-12-04 12:00:00","2024-09-10 09:00:00"
1,115204,"Blairdaff","RS","HYear.Total",51498010,"1996-10-01 09:00:00","2022-10-01 09:00:00"
1,115206,"Bogmore","RS","HDay.Total",51504010,"1997-11-03 09:00:00","2024-07-31 09:00:00"
1,115206,"Bogmore","RS","HYear.Total",51505010,"1997-10-01 09:00:00","2023-10-01 09:00:00"
1,115220,"Dunecht House","RS","CYear.Total",51526010,"1970-01-01 09:00:00","2020-01-01 09:00:00"
1,115226,"Glenrinnes Knowe","RS","CYear.Total",51560010,"2001-01-01 09:00:00","2024-01-01 09:00:00"
1,115226,"Glenrinnes Knowe","RS","HDay.Total",51561010,"2001-03-06 09:00:00","2024-07-30 09:00:00"
1,115226,"Glenrinnes Knowe","RS","HYear.Total",51562010,"2000-10-01 09:00:00","2023-10-01 09:00:00"
1,115226,"Glenrinnes Knowe","RS","LTV.HMonth.Min",51565010,"2001-01-01 09:00:00","2024-12-01 09:00:00"
1,115227,"Hatton No 2","RE","HYear.Total",51571010,"1997-10-01 09:00:00","2023-10-01 09:00:00"
1,115229,"Insch No 2","RS","HDay.Total",51577010,"1970-01-01 09:00:00","2024-07-31 09:00:00"
1,115229,"Insch No 2","RS","LTV.HMonth.Max",51579010,"1970-01-01 09:00:00","2024-12-01 09:00:00"
1,115229,"Insch No 2","RS","LTV.HMonth.Mean",51580010,"1970-01-01 09:00:00","2024-12-01 09:00:00"
1,115239,"Rothienorman","RE","15m.Total",51608010,"2001-03-10 05:30:00","2024-09-10 09:45:00"
1,115239,"Rothienorman","RE","Hour.36HourTotal",65981010,"2001-03-10 06:00:00","2024-09-10 09:00:00"
1,115247,"Tulchan","RE","LTV.HMonth.Max",51638010,"1991-01-01 09:00:00","2024-12-01 09:00:00"
1,115247,"Tulchan","RE","CYear.Total",68659010,"1991-01-01 09:00:00","2024-01-01 09:00:00"
1,115250,"Westhill","RE","Hour.Total",51645010,"1994-03-25 07:00:00","2024-09-10 09:00:00"
1,115250,"Westhill","RE","LTV.HMonth.Mean",51648010,"1994-01-01 09:00:00","2024-12-01 09:00:00"
1,115301,"Affric Lodge","RE","LTV.HMonth.Max",51663010,"1994-01-01 09:00:00","2024-12-01 09:00:00"
1,115304,"Allt Dearg House","RE","LTV.HMonth.Mean",51682010,"2001-01-01 09:00:00","2024-12-01 09:00:00"
1,115307,"Anaheilt","RS","HDay.Total",51686010,"2001-01-01 09:00:00","2021-07-31 09:00:00"
1,115307,"Anaheilt","RS","LTV.HMonth.Max",51688010,"2001-01-01 09:00:00","2021-12-01 09:00:00"
1,115307,"Anaheilt","RS","LTV.HMonth.Mean",51689010,"2001-01-01 09:00:00","2021-12-01 09:00:00"
1,115307,"Anaheilt","RS","HMonth.Total",51691010,"2001-01-01 09:00:00","2021-07-01 09:00:00"
1,115315,"Braeroy Lodge","RE","HMonth.Total",51700010,"1993-01-01 09:00:00","2024-09-01 09:00:00"
1,115319,"Coille Mhorgil","RE","Hour.Total",51713010,"1994-01-01 10:00:00","2024-09-10 10:00:00"
1,115354,"Inchvuilt","RE","LTV.HMonth.Min",51803010,"1995-01-01 09:00:00","2024-12-01 09:00:00"
1,115356,"Inverewe Garden","RE","LTV.HMonth.Mean",51811010,"2000-01-01 09:00:00","2024-12-01 09:00:00"
1,115368,"Loch Droma","RE","15m.Total",51823010,"1989-11-01 09:15:00","2024-09-10 10:30:00"
