"#Occurrance Timestamp","daily_max","name","la","station_id.x","Time","m_max","m_mean","m_min","station_id.y"
"2025-07-20T21:00:00.000Z",0.792,"Aberlour","Moray",234150,2025-07-01 09:00:00,2.972,0.645,0.307,234150
"2025-07-20T09:00:00.000Z",0.527,"Aberuchill","Perth and Kinross",14966,2025-07-01 09:00:00,1.769,0.796,0.452,14966
"2025-07-20T12:30:00.000Z",0.104,"Aberuthven","Perth and Kinross",14969,2025-07-01 09:00:00,1.665,0.181,0.019,14969
"2025-07-20T18:30:00.000Z",1.059,"Alford","Aberdeenshire",234170,2025-07-01 09:00:00,2.225,0.696,0.512,234170
"2025-07-20T18:45:00.000Z",0.366,"Allnabad","Highland",234151,2025-07-01 09:00:00,2.516,0.493,0.205,234151
"2025-07-20T09:15:00.000Z",0.095,"Allt A' Ghlas-Charnaich","Highland",368538,2025-07-01 09:00:00,0.575,0.174,0.068,368538
"2025-07-20T13:30:00.000Z",0.571,"Almondbank","Perth and Kinross",14954,2025-07-01 09:00:00,2.587,0.229,0.034,14954
"2025-07-20T21:45:00.000Z",0.598,"Alness","Highland",234152,2025-07-01 09:00:00,2.012,0.489,0.288,234152
"2025-07-20T21:30:00.000Z",0.536,"Anie","Stirling",14888,2025-07-01 09:00:00,1.516,0.569,0.17,14888
"2025-07-21T03:30:00.000Z",0.19,"Apigill","Highland",234153,2025-07-01 09:00:00,1.743,0.419,0.108,234153
"2025-07-20T09:00:00.000Z",0.576,"Arbroath","Angus",14922,2025-07-01 09:00:00,1.36,0.389,0.295,14922
"2025-07-20T21:15:00.000Z",1.483,"Arcan Spillway","Highland",234154,2025-07-01 09:00:00,2.653,1.517,0.98,234154
"2025-07-20T13:00:00.000Z",0.564,"Ardachy Bridge","Highland",234155,2025-07-01 09:00:00,2.934,0.588,0.418,234155
"2025-07-20T21:45:00.000Z",0.811,"Ariundle","Highland",234157,2025-07-01 09:00:00,2.303,0.823,0.176,234157
"2025-07-11T09:30:00.000Z",0.215,"Auchinner","Perth and Kinross",14964,2025-07-01 09:00:00,2.017,0.344,0.153,14964
"2025-07-20T09:00:00.000Z",0.748,"Auchnafree","Perth and Kinross",14952,2025-07-01 09:00:00,1.66,0.349,0.193,14952
"2025-07-20T20:00:00.000Z",0.444,"Avochie","Aberdeenshire",234161,2025-07-01 09:00:00,2.159,0.307,0.192,234161
"2025-07-20T11:30:00.000Z",1.78,"Balbrogie","Perth and Kinross",14947,2025-07-01 09:00:00,4.256,0.507,0.09,14947
"2025-07-20T09:00:00.000Z",0.426,"Balfour Mains","Fife",14894,2025-07-01 09:00:00,1.502,0.378,0.233,14894
"2025-07-20T13:45:00.000Z",0.628,"Ballachraggan","Moray",516803,2025-07-01 09:00:00,1.033,0.435,0.332,516803
"2025-07-20T15:45:00.000Z",1.533,"Ballathie","Perth and Kinross",14937,2025-07-01 09:00:00,3.888,0.629,0.024,14937
"2025-07-20T15:15:00.000Z",0.589,"Balmacneil","Perth and Kinross",14938,2025-07-01 09:00:00,2.333,0.284,0.017,14938
"2025-07-20T09:00:00.000Z",0.546,"Balmossie","Dundee City",14919,2025-07-01 09:00:00,1.364,0.343,0.112,14919
"2025-07-21T03:45:00.000Z",0.446,"Balnaan","Highland",234163,2025-07-01 09:00:00,2.171,0.241,0.07,234163
"2025-07-20T13:15:00.000Z",-0.033,"Balnafoich","Highland",206846,2025-07-01 09:00:00,1.925,0.319,-0.028,206846
"2025-07-20T16:45:00.000Z",0.414,"Bannockburn","Stirling",14897,2025-07-01 09:00:00,1.438,0.423,0.361,14897
"2025-07-20T23:00:00.000Z",0.399,"Boat O  Brig","Moray",234167,2025-07-01 09:00:00,3.076,0.428,-0.025,234167
"2025-07-20T09:45:00.000Z",0.71,"Boat Of Garten","Highland",234168,2025-07-01 09:00:00,2.683,0.493,0.265,234168
"2025-07-20T22:00:00.000Z",0.033,"Borgie Bridge","Highland",234334,2025-07-01 09:00:00,1.286,0.216,-0.171,234334
"2025-07-20T12:30:00.000Z",0.872,"Brechin","Angus",14917,2025-07-01 09:00:00,2.308,0.25,-0.158,14917
"2025-07-20T18:00:00.000Z",0.601,"Bridge Of Allan","Stirling",14889,2025-07-01 09:00:00,2.035,0.475,0.219,14889
"2025-07-20T11:15:00.000Z",2.728,"Bridge Of Earn","Perth and Kinross",14971,2025-07-01 09:00:00,4.061,1.378,0.155,14971
"2025-07-20T23:00:00.000Z",0.661,"Bridge Of Teith","Stirling",14887,2025-07-01 09:00:00,1.881,0.632,0.358,14887
"2025-07-20T16:45:00.000Z",0.275,"Brodie","Moray",234173,2025-07-01 09:00:00,1.109,0.315,0.201,234173
"2025-07-21T08:15:00.000Z",0.72,"Bruachrobie","Highland",234174,2025-07-01 09:00:00,1.648,0.685,0.49,234174
"2025-07-20T14:15:00.000Z",0.527,"Cabrach","Moray",234176,2025-07-01 09:00:00,1.63,0.344,0.172,234176
"2025-07-20T19:15:00.000Z",0.241,"Callander","Stirling",14911,2025-07-01 09:00:00,1.115,0.362,0.034,14911
"2025-07-21T03:30:00.000Z",0.695,"Camisky","Highland",234178,2025-07-01 09:00:00,3.231,0.809,0.226,234178
"2025-07-20T10:15:00.000Z",0.867,"Camusvrachan","Perth and Kinross",14950,2025-07-01 09:00:00,1.77,0.452,0.279,14950
"2025-07-20T17:30:00.000Z",0.649,"Caputh","Perth and Kinross",14936,2025-07-01 09:00:00,2.503,0.406,0.128,14936
"2025-07-20T13:00:00.000Z",0.128,"Carron (Stonehaven)","Aberdeenshire",320374,2025-07-01 09:00:00,1.04,0.175,-0.021,320374
"2025-07-20T09:00:00.000Z",0.209,"Castlehill Reservoir","Perth and Kinross",14908,2025-07-01 09:00:00,1.524,0.24,0.114,14908
"2025-07-21T00:45:00.000Z",0.643,"Claggan","Highland",116011,2025-07-01 09:00:00,2.7,0.421,0.097,116011
"2025-07-20T09:00:00.000Z",0.095,"Cleuchhead","Aberdeenshire",499810,2025-07-01 09:00:00,0.65,0.054,-0.011,499810
"2025-07-20T09:00:00.000Z",0.416,"Colliston","Angus",14921,2025-07-01 09:00:00,1.179,0.278,0.025,14921
"2025-07-20T12:00:00.000Z",0.963,"Comrie Bridge","Perth and Kinross",14951,2025-07-01 09:00:00,2.267,0.396,0.208,14951
"2025-07-21T08:15:00.000Z",2.109,"Conon Bridge","Highland",234185,2025-07-01 09:00:00,2.992,1.872,1.603,234185
"2025-07-20T18:45:00.000Z",0.43,"Craigard","Highland",234189,2025-07-01 09:00:00,1.045,0.505,0.35,234189
"2025-07-20T09:00:00.000Z",1.211,"Craigendarroch","Highland",356326,2025-07-01 09:00:00,2.419,1.352,1.039,356326
"2025-07-21T01:15:00.000Z",0.437,"Craigforth","Stirling",4638,2025-07-01 09:00:00,1.965,0.438,0.11,4638
"2025-07-20T10:00:00.000Z",1.316,"Craighall (Perth)","Perth and Kinross",14956,2025-07-01 09:00:00,2.752,0.624,0.465,14956
"2025-07-20T09:00:00.000Z",0.204,"Creed Bridge","Na h-Eileanan an Iar",234190,2025-07-01 09:00:00,1.348,0.264,0.032,234190
"2025-07-20T13:30:00.000Z",0.689,"Crieff","Perth and Kinross",520119,2025-07-01 09:00:00,2.61,0.402,0.153,520119
"2025-07-20T16:00:00.000Z",0.307,"Culfork","Aberdeenshire",234191,2025-07-01 09:00:00,1.006,0.097,0,234191
"2025-07-21T08:15:00.000Z",0.241,"Cullen","Moray",234192,2025-07-01 09:00:00,1.611,0.336,0.201,234192
"2025-07-20T11:30:00.000Z",0.834,"Cultybraggan","Perth and Kinross",14965,2025-07-01 09:00:00,2.991,0.457,0.257,14965
"2025-07-20T11:15:00.000Z",0.484,"Dalginross","Perth and Kinross",14967,2025-07-01 09:00:00,3.032,0.236,-0.081,14967
"2025-07-20T09:00:00.000Z",0.934,"Dalhousie Bridge","Angus",14925,2025-07-01 09:00:00,2.531,0.305,0.142,14925
"2025-07-20T09:00:00.000Z",0.576,"Dalnamein","Perth and Kinross",14960,2025-07-01 09:00:00,1.609,0.202,0.043,14960
"2025-07-20T10:30:00.000Z",0.045,"Damleys Cottage","Perth and Kinross",14912,2025-07-01 09:00:00,0.518,0.053,0.006,14912
"2025-07-20T12:45:00.000Z",0.351,"Dean Bridge","Perth and Kinross",14946,2025-07-01 09:00:00,1.199,0.236,0.069,14946
"2025-07-20T14:45:00.000Z",0.721,"Delnashaugh","Moray",234198,2025-07-01 09:00:00,2.84,0.349,-0.339,234198
"2025-07-21T05:00:00.000Z",0.518,"Dionard","Highland",234330,2025-07-01 09:00:00,2.489,0.662,0.391,234330
"2025-07-20T11:15:00.000Z",0.229,"Diriebught House","Highland",234200,2025-07-01 09:00:00,0.62,0.216,0.176,234200
