"site_no","station_no","station_name","stationparameter_no","ts_shortname","ts_id","from","to"
1,133069,"Calderpark","SG","15m.Cmd",52768010,"1978-03-01 09:00:00","2024-09-11 08:15:00"
1,133118,"Overlee","SG","15m.Cmd",53384010,"1981-01-01 07:00:00","2024-09-11 05:30:00"
1,133131,"Victoria Bridge","SG","15m.Cmd",53537010,"1981-10-01 08:15:00","2024-09-11 08:15:00"
1,14889,"Bridge of Allan","SG","15m.Cmd",54528010,"1992-06-21 09:00:00","2024-09-11 06:45:00"
1,14891,"Glenochil","SG","15m.Cmd",54570010,"1992-06-21 09:00:00","2021-11-04 10:15:00"
1,14925,"Dalhousie Bridge","SG","15m.Cmd",55027010,"1984-12-31 12:15:00","2024-09-11 07:00:00"
1,234152,"Alness","SG","15m.Cmd",56795010,"1973-06-07 09:00:00","2024-09-11 08:15:00"
1,234172,"Bridge of Oich","SG","15m.Cmd",56973010,"1990-12-13 14:15:00","2020-06-25 09:15:00"
1,234174,"Bruachrobie","SG","15m.Cmd",57006010,"1993-05-01 09:00:00","2024-09-11 08:15:00"
1,234198,"Delnashaugh","SG","15m.Cmd",57265010,"1952-10-16 23:00:00","2024-09-11 06:15:00"
1,234229,"Grantown","SG","15m.Cmd",57507010,"1987-10-05 11:30:00","2024-09-11 06:15:00"
1,234241,"Inverbervie","SG","15m.Cmd",57613010,"1979-08-16 09:00:00","2024-09-11 07:00:00"
1,234249,"Inverugie","SG","15m.Cmd",57693010,"1971-01-29 14:45:00","2024-09-11 08:15:00"
1,542772,"Limmerhaugh","SG","15m.Cmd",61189010,"2017-10-26 14:15:00","2024-09-10 18:00:00"
1,559081,"Hottsbridge","SG","15m.Cmd",61320010,"2018-07-19 14:00:00","2024-09-11 08:00:00"
1,579464,"Loch Vaa","SG","15m.Cmd",61445010,"2020-07-27 13:00:00","2024-09-11 08:15:00"
1,9683,"Galashiels","SG","15m.Cmd",61573010,"1963-10-01 09:00:00","2024-09-11 07:15:00"
1,133086,"Gaidrew","SG","15m.Cmd",52970010,"1978-01-01 07:00:00","2024-09-11 07:15:00"
1,133092,"Happendon","SG","15m.Cmd",53044010,"1989-09-14 09:00:00","2024-09-11 07:15:00"
1,133101,"Kilwinning","SG","15m.Cmd",53142010,"1978-01-01 07:00:00","2024-09-11 07:30:00"
1,133112,"Milliken Park","SG","15m.Cmd",53295010,"1978-03-01 07:45:00","2024-09-11 08:15:00"
1,133115,"Monyquil Farm","SG","15m.Cmd",53352010,"1999-03-11 16:00:00","2022-02-20 06:00:00"
1,14923,"Kirkton Mill","SG","15m.Cmd",54995010,"1991-01-01 09:00:00","2024-09-11 07:00:00"
1,14950,"Camusvrachan","SG","15m.Cmd",55367010,"1991-10-25 09:00:00","2024-09-11 07:00:00"
1,234154,"Arcan Spillway","SG","15m.Cmd",56827010,"1991-12-01 09:00:00","2024-09-11 07:00:00"
1,234168,"Boat of Garten","SG","15m.Cmd",56932010,"1988-01-01 00:00:00","2024-09-11 08:15:00"
1,234215,"Fasnakyle","SG","15m.Cmd",57395010,"1990-12-01 09:00:00","2024-09-11 07:00:00"
1,234218,"Firhall","SG","15m.Cmd",57427010,"1978-11-13 09:15:00","2024-09-11 06:15:00"
1,234225,"Garve","SG","15m.Cmd",57459010,"1989-10-18 12:00:00","2024-09-11 07:00:00"
1,234277,"Mill of Tore","SG","15m.Cmd",57928010,"1979-12-13 09:30:00","2024-09-11 06:15:00"
1,559082,"Johnstonehall","SG","15m.Cmd",61336010,"2018-08-31 10:15:00","2022-08-29 09:00:00"
1,133107,"Linnbrane","SG","15m.Cmd",53231010,"1978-03-07 14:30:00","2024-09-11 07:30:00"
1,14890,"Kinbuck","SG","15m.Cmd",54545010,"1992-06-21 09:00:00","2024-09-11 06:30:00"
1,14894,"Balfour Mains","SG","15m.Cmd",54611010,"1992-06-21 09:00:00","2024-09-11 06:30:00"
1,14915,"Prosen Bridge","SG","15m.Cmd",54865010,"1984-11-22 13:45:00","2024-09-11 02:30:00"
1,14929,"Kemback","SG","15m.Cmd",55100010,"1991-01-01 09:00:00","2024-09-11 08:15:00"
1,14960,"Dalnamein","SG","15m.Cmd",55538010,"1990-11-21 12:30:00","2024-09-11 06:30:00"
1,234176,"Cabrach","SG","15m.Cmd",57031010,"1990-01-29 12:30:00","2024-09-11 07:45:00"
1,234206,"Dunphail","SG","15m.Cmd",57322010,"1982-11-19 13:45:00","2024-09-11 06:15:00"
