"site_no","station_no","station_name","stationparameter_no","ts_shortname","ts_id","from","to"
1,133135,"Wellwood","SG","HDay.Max",53573010,"1991-10-09 09:00:00","2024-09-09 09:00:00"
1,14883,"Turnhouse","SG","HDay.Max",54436010,"1983-06-28 09:00:00","2024-09-09 09:00:00"
1,14923,"Kirkton Mill","SG","HDay.Max",54999010,"1991-01-01 09:00:00","2024-09-09 09:00:00"
1,14935,"Pitnacree","SG","HDay.Max",55177010,"1991-01-01 09:00:00","2024-09-09 09:00:00"
1,234207,"Durkadale","SG","HDay.Max",57351010,"1999-08-05 09:00:00","2024-09-09 09:00:00"
1,234237,"Heugh Head","SG","HDay.Max",57585010,"1985-01-14 09:00:00","2024-09-09 09:00:00"
1,234247,"Invermuick","SG","HDay.Max",57665010,"1990-01-17 09:00:00","2024-09-09 09:00:00"
1,234252,"Killilan","SG","HDay.Max",57738010,"2002-06-10 09:00:00","2024-09-09 09:00:00"
1,234262,"Levishie","SG","HDay.Max",57827010,"1994-03-01 09:00:00","2024-09-09 09:00:00"
1,234274,"Mar Lodge","SG","HDay.Max",57916010,"1982-09-10 09:00:00","2024-09-09 09:00:00"
1,234277,"Mill of Tore","SG","HDay.Max",57932010,"1979-12-13 09:00:00","2024-09-09 09:00:00"
1,559194,"Gairlochy","SG","HDay.Max",61356010,"2018-07-26 09:00:00","2024-09-09 09:00:00"
1,9683,"Galashiels","SG","HDay.Max",61577010,"1963-10-01 09:00:00","2024-09-09 09:00:00"
1,133117,"Newmilns","SG","HDay.Max",53372010,"1976-08-31 09:00:00","2024-09-09 09:00:00"
1,133130,"Tulliford Mill","SG","HDay.Max",53525010,"1968-12-31 09:00:00","2024-09-09 09:00:00"
1,133141,"Airyhemming","SG","HDay.Max",53694010,"1988-01-01 09:00:00","2024-09-09 09:00:00"
1,133143,"Beattock","SG","HDay.Max",53726010,"1993-07-01 09:00:00","2024-09-09 09:00:00"
1,14887,"Bridge of Teith","SG","HDay.Max",54500010,"1992-06-21 09:00:00","2024-09-09 09:00:00"
1,14891,"Glenochil","SG","HDay.Max",54574010,"1992-06-21 09:00:00","2021-11-04 09:00:00"
1,14894,"Balfour Mains","SG","HDay.Max",54615010,"1992-06-21 09:00:00","2024-09-09 09:00:00"
1,14903,"Kinross","SG","HDay.Max",54697010,"1992-09-18 09:00:00","2024-09-09 09:00:00"
1,14921,"Colliston","SG","HDay.Max",54967010,"1993-10-08 09:00:00","2024-09-09 09:00:00"
1,14972,"Kingledores","SG","HDay.Max",55721010,"1986-01-01 09:00:00","2024-09-09 09:00:00"
1,234172,"Bridge of Oich","SG","HDay.Max",56977010,"1990-12-13 09:00:00","2020-06-25 09:00:00"
1,234192,"Cullen","SG","HDay.Max",57244010,"1991-01-29 09:00:00","2024-09-09 09:00:00"
1,234227,"Glenmeanie","SG","HDay.Max",57479010,"1986-01-01 09:00:00","2024-09-09 09:00:00"
1,234241,"Inverbervie","SG","HDay.Max",57617010,"1979-08-16 09:00:00","2024-09-09 09:00:00"
1,234243,"Invergairn","SG","HDay.Max",57649010,"1990-01-19 09:00:00","2024-09-09 09:00:00"
1,234268,"Loch Naver","SG","HDay.Max",57900010,"1993-12-23 09:00:00","2024-09-09 09:00:00"
1,133094,"Hazelbank","SG","HDay.Max",53081010,"1955-10-05 09:00:00","2024-09-09 09:00:00"
1,133114,"Milton of Campsie","SG","HDay.Max",53331010,"1970-06-25 09:00:00","2024-09-09 09:00:00"
1,133128,"Spiers Bridge","SG","HDay.Max",53509010,"1991-04-16 09:00:00","2024-09-09 09:00:00"
1,14915,"Prosen Bridge","SG","HDay.Max",54869010,"1984-11-22 09:00:00","2024-09-09 09:00:00"
1,15029,"Broxmouth","SG","HDay.Max",56223010,"1998-04-16 09:00:00","2021-09-30 09:00:00"
1,234198,"Delnashaugh","SG","HDay.Max",57269010,"1952-10-16 09:00:00","2024-09-09 09:00:00"
1,554836,"Renagour Bridge","SG","HDay.Max",61250010,"2015-02-11 09:00:00","2024-09-04 09:00:00"
1,133118,"Overlee","SG","HDay.Max",53388010,"1980-12-31 09:00:00","2024-09-09 09:00:00"
1,133124,"Ross Priory","SG","HDay.Max",53461010,"1978-03-01 09:00:00","2024-09-09 09:00:00"
1,133131,"Victoria Bridge","SG","HDay.Max",53541010,"1981-09-30 09:00:00","2024-09-09 09:00:00"
