"site_no","station_no","station_name","stationparameter_no","ts_shortname","ts_id","from","to"
1,133086,"Gaidrew","SG","LTV.HMonth.Mean",52981010,"1977-12-01 09:00:00","2024-10-01 09:00:00"
1,133092,"Happendon","SG","LTV.HMonth.Max",53054010,"1989-09-01 09:00:00","2024-12-01 09:00:00"
1,133101,"Kilwinning","SG","LTV.HMonth.Mean",53153010,"1977-12-01 09:00:00","2024-10-01 09:00:00"
1,133110,"Maidencots","SG","LTV.HMonth.Min",53275010,"1978-03-01 09:00:00","2024-12-01 09:00:00"
1,133115,"Monyquil Farm","SG","LTV.HMonth.Min",53364010,"1999-03-01 09:00:00","2022-12-01 09:00:00"
1,133117,"Newmilns","SG","LTV.HMonth.Mean",53379010,"1976-08-01 09:00:00","2024-10-01 09:00:00"
1,133118,"Overlee","SG","LTV.HMonth.Max",53394010,"1980-12-01 09:00:00","2024-12-01 09:00:00"
1,133122,"Redlees","SG","LTV.HMonth.Max",53426010,"1978-01-01 09:00:00","2024-12-01 09:00:00"
1,133125,"Shewalton","SG","LTV.HMonth.Max",53483010,"1978-03-01 09:00:00","2024-12-01 09:00:00"
1,133128,"Spiers Bridge","SG","LTV.HMonth.Max",53515010,"1991-04-01 09:00:00","2024-12-01 09:00:00"
1,133135,"Wellwood","SG","LTV.HMonth.Max",53579010,"1991-10-01 09:00:00","2024-12-01 09:00:00"
1,133141,"Airyhemming","SG","LTV.HMonth.Min",53702010,"1988-01-01 09:00:00","2024-12-01 09:00:00"
1,133143,"Beattock","SG","LTV.HMonth.Mean",53733010,"1993-07-01 09:00:00","2024-10-01 09:00:00"
1,14880,"Colinton","SG","LTV.HMonth.Min",54387010,"1993-03-01 09:00:00","2024-12-01 09:00:00"
1,14881,"Whitburn","SG","LTV.HMonth.Max",54410010,"1992-10-01 09:00:00","2024-12-01 09:00:00"
1,14881,"Whitburn","SG","LTV.HMonth.Min",54412010,"1992-10-01 09:00:00","2024-12-01 09:00:00"
1,14887,"Bridge of Teith","SG","LTV.HMonth.Min",54508010,"1992-06-01 09:00:00","2024-12-01 09:00:00"
1,14890,"Kinbuck","SG","LTV.HMonth.Max",54555010,"1992-06-01 09:00:00","2024-12-01 09:00:00"
1,14907,"Milton","SG","LTV.HMonth.Max",54760010,"1992-10-01 09:00:00","2020-12-01 09:00:00"
1,14925,"Dalhousie Bridge","SG","LTV.HMonth.Min",55039010,"1984-12-01 09:00:00","2024-12-01 09:00:00"
1,14937,"Ballathie","SG","LTV.HMonth.Mean",55216010,"1952-10-01 09:00:00","2024-10-01 09:00:00"
1,14953,"Newton Bridge","SG","LTV.HMonth.Mean",55435010,"1991-01-01 09:00:00","2024-10-01 09:00:00"
1,14960,"Dalnamein","SG","LTV.HMonth.Min",55550010,"1990-11-01 09:00:00","2024-12-01 09:00:00"
1,14967,"Dalginross","SG","LTV.HMonth.Max",55638010,"1992-09-01 09:00:00","2024-12-01 09:00:00"
1,234168,"Boat of Garten","SG","LTV.HMonth.Max",56942010,"1987-12-01 09:00:00","2024-12-01 09:00:00"
1,234176,"Cabrach","SG","LTV.HMonth.Min",57043010,"1990-01-01 09:00:00","2024-12-01 09:00:00"
1,234183,"Charr","SG","LTV.HMonth.Mean",57083010,"1991-01-01 09:00:00","2021-05-01 09:00:00"
1,234189,"Craigard","SG","LTV.HMonth.Max",57184010,"1997-04-01 09:00:00","2024-12-01 09:00:00"
1,234192,"Cullen","SG","LTV.HMonth.Min",57252010,"1991-01-01 09:00:00","2024-12-01 09:00:00"
1,234217,"Feshie Bridge","SG","LTV.HMonth.Mean",57422010,"1992-12-01 09:00:00","2024-10-01 09:00:00"
1,234229,"Grantown","SG","LTV.HMonth.Mean",57518010,"1987-10-01 09:00:00","2024-10-01 09:00:00"
1,234231,"Halkirk","SG","LTV.HMonth.Mean",57543010,"1971-03-01 09:00:00","2024-10-01 09:00:00"
1,234247,"Invermuick","SG","LTV.HMonth.Mean",57672010,"1990-01-01 09:00:00","2024-10-01 09:00:00"
