"site_no","station_no","station_name","stationparameter_no","ts_shortname","ts_id","from","to"
1,133069,"Calderpark","SG","15m.Cmd",52768010,"1978-03-01 09:00:00","2024-09-11 06:30:00"
1,133086,"Gaidrew","SG","LTV.HMonth.Mean",52981010,"1977-12-01 09:00:00","2024-10-01 09:00:00"
1,133092,"Happendon","SG","LTV.HMonth.Max",53054010,"1989-09-01 09:00:00","2024-12-01 09:00:00"
1,133101,"Kilwinning","SG","LTV.HMonth.Mean",53153010,"1977-12-01 09:00:00","2024-10-01 09:00:00"
1,133101,"Kilwinning","SG","HMonth.Max",53155010,"1977-12-01 09:00:00","2024-08-01 09:00:00"
1,133110,"Maidencots","SG","LTV.HMonth.Min",53275010,"1978-03-01 09:00:00","2024-12-01 09:00:00"
1,133114,"Milton of Campsie","SG","HMonth.Max",53340010,"1970-06-01 09:00:00","2024-08-01 09:00:00"
1,133115,"Monyquil Farm","SG","LTV.HMonth.Min",53364010,"1999-03-01 09:00:00","2022-12-01 09:00:00"
1,133117,"Newmilns","SG","LTV.HMonth.Mean",53379010,"1976-08-01 09:00:00","2024-10-01 09:00:00"
1,133117,"Newmilns","SG","HMonth.Max",53381010,"1976-08-01 09:00:00","2024-08-01 09:00:00"
1,133118,"Overlee","SG","15m.Cmd",53384010,"1981-01-01 07:00:00","2024-09-11 05:30:00"
1,133118,"Overlee","SG","LTV.HMonth.Max",53394010,"1980-12-01 09:00:00","2024-12-01 09:00:00"
1,133122,"Redlees","SG","LTV.HMonth.Max",53426010,"1978-01-01 09:00:00","2024-12-01 09:00:00"
1,133125,"Shewalton","SG","LTV.HMonth.Max",53483010,"1978-03-01 09:00:00","2024-12-01 09:00:00"
1,133128,"Spiers Bridge","SG","LTV.HMonth.Max",53515010,"1991-04-01 09:00:00","2024-12-01 09:00:00"
1,133131,"Victoria Bridge","SG","15m.Cmd",53537010,"1981-10-01 08:15:00","2024-09-10 14:15:00"
1,133131,"Victoria Bridge","SG","HMonth.Max",53550010,"1981-09-01 09:00:00","2024-08-01 09:00:00"
1,133135,"Wellwood","SG","HDay.Max",53573010,"1991-10-09 09:00:00","2024-09-09 09:00:00"
1,133135,"Wellwood","SG","LTV.HMonth.Max",53579010,"1991-10-01 09:00:00","2024-12-01 09:00:00"
1,133141,"Airyhemming","SG","LTV.HMonth.Min",53702010,"1988-01-01 09:00:00","2024-12-01 09:00:00"
1,133143,"Beattock","SG","LTV.HMonth.Mean",53733010,"1993-07-01 09:00:00","2024-10-01 09:00:00"
1,133143,"Beattock","SG","HMonth.Max",53735010,"1993-07-01 09:00:00","2024-08-01 09:00:00"
